Date,Region,Product,Forecasted Revenue
2024-01-01,North,SaaS,57993
2024-01-01,North,SaaS,42514
2024-01-01,North,SaaS,139655
2024-01-01,North,Consulting,111997
2024-01-01,North,Consulting,100756
2024-01-01,North,Consulting,49134
2024-01-01,North,Licensing,131370
2024-01-01,North,Licensing,83573
2024-01-01,North,Licensing,127787
2024-01-01,South,SaaS,84156
2024-01-01,South,SaaS,106244
2024-01-01,South,SaaS,57703
2024-01-01,South,Consulting,84365
2024-01-01,South,Consulting,113564
2024-01-01,South,Consulting,112996
2024-01-01,South,Licensing,39448
2024-01-01,South,Licensing,97253
2024-01-01,South,Licensing,94594
2024-01-01,East,SaaS,106567
2024-01-01,East,SaaS,97948
2024-01-01,East,SaaS,44999
2024-01-01,East,Consulting,144577
2024-01-01,East,Consulting,138545
2024-01-01,East,Consulting,125340
2024-01-01,East,Licensing,84907
2024-01-01,East,Licensing,113710
2024-01-01,East,Licensing,73125
2024-01-01,West,SaaS,108802
2024-01-01,West,SaaS,123094
2024-01-01,West,SaaS,147623
2024-01-01,West,Consulting,69203
2024-01-01,West,Consulting,117403
2024-01-01,West,Consulting,59867
2024-01-01,West,Licensing,39201
2024-01-01,West,Licensing,90259
2024-01-01,West,Licensing,106387
2024-02-01,North,SaaS,125667
2024-02-01,North,SaaS,77855
2024-02-01,North,SaaS,112293
2024-02-01,North,Consulting,106106
2024-02-01,North,Consulting,107151
2024-02-01,North,Consulting,69017
2024-02-01,North,Licensing,54428
2024-02-01,North,Licensing,104091
2024-02-01,North,Licensing,43354
2024-02-01,South,SaaS,74725
2024-02-01,South,SaaS,123339
2024-02-01,South,SaaS,131145
2024-02-01,South,Consulting,135867
2024-02-01,South,Consulting,52611
2024-02-01,South,Consulting,47903
2024-02-01,South,Licensing,139132
2024-02-01,South,Licensing,138349
2024-02-01,South,Licensing,108276
2024-02-01,East,SaaS,83818
2024-02-01,East,SaaS,121554
2024-02-01,East,SaaS,65944
2024-02-01,East,Consulting,103388
2024-02-01,East,Consulting,69258
2024-02-01,East,Consulting,92768
2024-02-01,East,Licensing,57780
2024-02-01,East,Licensing,149804
2024-02-01,East,Licensing,118146
2024-02-01,West,SaaS,72089
2024-02-01,West,SaaS,128262
2024-02-01,West,SaaS,112645
2024-02-01,West,Consulting,98846
2024-02-01,West,Consulting,119533
2024-02-01,West,Consulting,54058
2024-02-01,West,Licensing,96769
2024-02-01,West,Licensing,125520
2024-02-01,West,Licensing,155182
2024-03-01,North,SaaS,118338
2024-03-01,North,SaaS,85515
2024-03-01,North,SaaS,80621
2024-03-01,North,Consulting,49428
2024-03-01,North,Consulting,80152
2024-03-01,North,Consulting,110921
2024-03-01,North,Licensing,108953
2024-03-01,North,Licensing,108146
2024-03-01,North,Licensing,79147
2024-03-01,South,SaaS,120080
2024-03-01,South,SaaS,135805
2024-03-01,South,SaaS,74433
2024-03-01,South,Consulting,51566
2024-03-01,South,Consulting,144264
2024-03-01,South,Consulting,82948
2024-03-01,South,Licensing,122529
2024-03-01,South,Licensing,37493
2024-03-01,South,Licensing,133485
2024-03-01,East,SaaS,86538
2024-03-01,East,SaaS,132038
2024-03-01,East,SaaS,68815
2024-03-01,East,Consulting,65270
2024-03-01,East,Consulting,111513
2024-03-01,East,Consulting,126317
2024-03-01,East,Licensing,48856
2024-03-01,East,Licensing,127963
2024-03-01,East,Licensing,56792
2024-03-01,West,SaaS,101341
2024-03-01,West,SaaS,138472
2024-03-01,West,SaaS,85511
2024-03-01,West,Consulting,45615
2024-03-01,West,Consulting,132979
2024-03-01,West,Consulting,71812
2024-03-01,West,Licensing,82425
2024-03-01,West,Licensing,93017
2024-03-01,West,Licensing,92240
2024-04-01,North,SaaS,73846
2024-04-01,North,SaaS,41026
2024-04-01,North,SaaS,109668
2024-04-01,North,Consulting,97307
2024-04-01,North,Consulting,45380
2024-04-01,North,Consulting,84342
2024-04-01,North,Licensing,41801
2024-04-01,North,Licensing,132556
2024-04-01,North,Licensing,81554
2024-04-01,South,SaaS,78682
2024-04-01,South,SaaS,56524
2024-04-01,South,SaaS,108040
2024-04-01,South,Consulting,50370
2024-04-01,South,Consulting,73585
2024-04-01,South,Consulting,45744
2024-04-01,South,Licensing,70956
2024-04-01,South,Licensing,114757
2024-04-01,South,Licensing,141962
2024-04-01,East,SaaS,89889
2024-04-01,East,SaaS,66126
2024-04-01,East,SaaS,46851
2024-04-01,East,Consulting,76611
2024-04-01,East,Consulting,127104
2024-04-01,East,Consulting,90945
2024-04-01,East,Licensing,135614
2024-04-01,East,Licensing,79051
2024-04-01,East,Licensing,108056
2024-04-01,West,SaaS,129202
2024-04-01,West,SaaS,136497
2024-04-01,West,SaaS,132789
2024-04-01,West,Consulting,99615
2024-04-01,West,Consulting,54996
2024-04-01,West,Consulting,63107
2024-04-01,West,Licensing,133580
2024-04-01,West,Licensing,119558
2024-04-01,West,Licensing,126736
2024-05-01,North,SaaS,46371
2024-05-01,North,SaaS,130048
2024-05-01,North,SaaS,73328
2024-05-01,North,Consulting,94357
2024-05-01,North,Consulting,126189
2024-05-01,North,Consulting,137374
2024-05-01,North,Licensing,44969
2024-05-01,North,Licensing,126493
2024-05-01,North,Licensing,41593
2024-05-01,South,SaaS,133467
2024-05-01,South,SaaS,135355
2024-05-01,South,SaaS,67092
2024-05-01,South,Consulting,83225
2024-05-01,South,Consulting,89914
2024-05-01,South,Consulting,134046
2024-05-01,South,Licensing,95201
2024-05-01,South,Licensing,126442
2024-05-01,South,Licensing,62649
2024-05-01,East,SaaS,116767
2024-05-01,East,SaaS,134705
2024-05-01,East,SaaS,103919
2024-05-01,East,Consulting,101067
2024-05-01,East,Consulting,109748
2024-05-01,East,Consulting,67937
2024-05-01,East,Licensing,87849
2024-05-01,East,Licensing,106747
2024-05-01,East,Licensing,111332
2024-05-01,West,SaaS,122881
2024-05-01,West,SaaS,138929
2024-05-01,West,SaaS,57082
2024-05-01,West,Consulting,76644
2024-05-01,West,Consulting,163748
2024-05-01,West,Consulting,101427
2024-05-01,West,Licensing,80421
2024-05-01,West,Licensing,94652
2024-05-01,West,Licensing,162933
2024-06-01,North,SaaS,46842
2024-06-01,North,SaaS,141844
2024-06-01,North,SaaS,131911
2024-06-01,North,Consulting,100069
2024-06-01,North,Consulting,69593
2024-06-01,North,Consulting,89963
2024-06-01,North,Licensing,81683
2024-06-01,North,Licensing,66859
2024-06-01,North,Licensing,53533
2024-06-01,South,SaaS,66007
2024-06-01,South,SaaS,104452
2024-06-01,South,SaaS,55357
2024-06-01,South,Consulting,56476
2024-06-01,South,Consulting,77838
2024-06-01,South,Consulting,58897
2024-06-01,South,Licensing,72171
2024-06-01,South,Licensing,112099
2024-06-01,South,Licensing,103063
2024-06-01,East,SaaS,51099
2024-06-01,East,SaaS,129463
2024-06-01,East,SaaS,90943
2024-06-01,East,Consulting,53121
2024-06-01,East,Consulting,137768
2024-06-01,East,Consulting,107137
2024-06-01,East,Licensing,55913
2024-06-01,East,Licensing,49808
2024-06-01,East,Licensing,122534
2024-06-01,West,SaaS,47170
2024-06-01,West,SaaS,138265
2024-06-01,West,SaaS,151713
2024-06-01,West,Consulting,48980
2024-06-01,West,Consulting,107342
2024-06-01,West,Consulting,81783
2024-06-01,West,Licensing,114054
2024-06-01,West,Licensing,137013
2024-06-01,West,Licensing,105044
2024-07-01,North,SaaS,134603
2024-07-01,North,SaaS,111616
2024-07-01,North,SaaS,95975
2024-07-01,North,Consulting,98306
2024-07-01,North,Consulting,78705
2024-07-01,North,Consulting,75876
2024-07-01,North,Licensing,111191
2024-07-01,North,Licensing,132827
2024-07-01,North,Licensing,91910
2024-07-01,South,SaaS,107848
2024-07-01,South,SaaS,143276
2024-07-01,South,SaaS,121397
2024-07-01,South,Consulting,63201
2024-07-01,South,Consulting,104028
2024-07-01,South,Consulting,127717
2024-07-01,South,Licensing,122009
2024-07-01,South,Licensing,73067
2024-07-01,South,Licensing,147259
2024-07-01,East,SaaS,148710
2024-07-01,East,SaaS,41148
2024-07-01,East,SaaS,125128
2024-07-01,East,Consulting,83557
2024-07-01,East,Consulting,49142
2024-07-01,East,Consulting,89223
2024-07-01,East,Licensing,93843
2024-07-01,East,Licensing,135290
2024-07-01,East,Licensing,99032
2024-07-01,West,SaaS,150600
2024-07-01,West,SaaS,67813
2024-07-01,West,SaaS,125370
2024-07-01,West,Consulting,112711
2024-07-01,West,Consulting,118554
2024-07-01,West,Consulting,84233
2024-07-01,West,Licensing,125385
2024-07-01,West,Licensing,146051
2024-07-01,West,Licensing,55960
2024-08-01,North,SaaS,71709
2024-08-01,North,SaaS,71762
2024-08-01,North,SaaS,109893
2024-08-01,North,Consulting,142822
2024-08-01,North,Consulting,100737
2024-08-01,North,Consulting,156076
2024-08-01,North,Licensing,112887
2024-08-01,North,Licensing,128237
2024-08-01,North,Licensing,73425
2024-08-01,South,SaaS,115156
2024-08-01,South,SaaS,57110
2024-08-01,South,SaaS,69938
2024-08-01,South,Consulting,141731
2024-08-01,South,Consulting,90313
2024-08-01,South,Consulting,138737
2024-08-01,South,Licensing,151554
2024-08-01,South,Licensing,96594
2024-08-01,South,Licensing,60663
2024-08-01,East,SaaS,141130
2024-08-01,East,SaaS,85272
2024-08-01,East,SaaS,42387
2024-08-01,East,Consulting,89111
2024-08-01,East,Consulting,122260
2024-08-01,East,Consulting,76341
2024-08-01,East,Licensing,128375
2024-08-01,East,Licensing,151677
2024-08-01,East,Licensing,52625
2024-08-01,West,SaaS,41693
2024-08-01,West,SaaS,98979
2024-08-01,West,SaaS,128009
2024-08-01,West,Consulting,48877
2024-08-01,West,Consulting,131698
2024-08-01,West,Consulting,124378
2024-08-01,West,Licensing,119134
2024-08-01,West,Licensing,129949
2024-08-01,West,Licensing,142403
2024-09-01,North,SaaS,54961
2024-09-01,North,SaaS,76007
2024-09-01,North,SaaS,38742
2024-09-01,North,Consulting,43616
2024-09-01,North,Consulting,119455
2024-09-01,North,Consulting,81294
2024-09-01,North,Licensing,90815
2024-09-01,North,Licensing,58363
2024-09-01,North,Licensing,116818
2024-09-01,South,SaaS,90934
2024-09-01,South,SaaS,68205
2024-09-01,South,SaaS,57664
2024-09-01,South,Consulting,84971
2024-09-01,South,Consulting,134892
2024-09-01,South,Consulting,141302
2024-09-01,South,Licensing,143035
2024-09-01,South,Licensing,56528
2024-09-01,South,Licensing,124029
2024-09-01,East,SaaS,41178
2024-09-01,East,SaaS,73364
2024-09-01,East,SaaS,154143
2024-09-01,East,Consulting,66410
2024-09-01,East,Consulting,64924
2024-09-01,East,Consulting,110088
2024-09-01,East,Licensing,112516
2024-09-01,East,Licensing,79002
2024-09-01,East,Licensing,47012
2024-09-01,West,SaaS,90576
2024-09-01,West,SaaS,55069
2024-09-01,West,SaaS,88276
2024-09-01,West,Consulting,109536
2024-09-01,West,Consulting,42186
2024-09-01,West,Consulting,42367
2024-09-01,West,Licensing,91688
2024-09-01,West,Licensing,48301
2024-09-01,West,Licensing,64474
2024-10-01,North,SaaS,49054
2024-10-01,North,SaaS,74759
2024-10-01,North,SaaS,42641
2024-10-01,North,Consulting,143374
2024-10-01,North,Consulting,100759
2024-10-01,North,Consulting,100739
2024-10-01,North,Licensing,91314
2024-10-01,North,Licensing,39767
2024-10-01,North,Licensing,73537
2024-10-01,South,SaaS,110813
2024-10-01,South,SaaS,39405
2024-10-01,South,SaaS,103692
2024-10-01,South,Consulting,81356
2024-10-01,South,Consulting,56309
2024-10-01,South,Consulting,108589
2024-10-01,South,Licensing,42532
2024-10-01,South,Licensing,95195
2024-10-01,South,Licensing,87661
2024-10-01,East,SaaS,134270
2024-10-01,East,SaaS,135232
2024-10-01,East,SaaS,71237
2024-10-01,East,Consulting,67120
2024-10-01,East,Consulting,134773
2024-10-01,East,Consulting,116221
2024-10-01,East,Licensing,47273
2024-10-01,East,Licensing,107193
2024-10-01,East,Licensing,56921
2024-10-01,West,SaaS,82366
2024-10-01,West,SaaS,148066
2024-10-01,West,SaaS,132692
2024-10-01,West,Consulting,103313
2024-10-01,West,Consulting,79177
2024-10-01,West,Consulting,107239
2024-10-01,West,Licensing,146993
2024-10-01,West,Licensing,82729
2024-10-01,West,Licensing,83282
2024-11-01,North,SaaS,59381
2024-11-01,North,SaaS,60271
2024-11-01,North,SaaS,42547
2024-11-01,North,Consulting,113971
2024-11-01,North,Consulting,91059
2024-11-01,North,Consulting,46869
2024-11-01,North,Licensing,114556
2024-11-01,North,Licensing,116959
2024-11-01,North,Licensing,42289
2024-11-01,South,SaaS,59109
2024-11-01,South,SaaS,71207
2024-11-01,South,SaaS,84773
2024-11-01,South,Consulting,84324
2024-11-01,South,Consulting,91736
2024-11-01,South,Consulting,124652
2024-11-01,South,Licensing,76950
2024-11-01,South,Licensing,138945
2024-11-01,South,Licensing,44026
2024-11-01,East,SaaS,124419
2024-11-01,East,SaaS,143581
2024-11-01,East,SaaS,82275
2024-11-01,East,Consulting,118645
2024-11-01,East,Consulting,90671
2024-11-01,East,Consulting,96804
2024-11-01,East,Licensing,131136
2024-11-01,East,Licensing,150726
2024-11-01,East,Licensing,148518
2024-11-01,West,SaaS,119327
2024-11-01,West,SaaS,95172
2024-11-01,West,SaaS,54225
2024-11-01,West,Consulting,79873
2024-11-01,West,Consulting,119621
2024-11-01,West,Consulting,78436
2024-11-01,West,Licensing,84707
2024-11-01,West,Licensing,84692
2024-11-01,West,Licensing,79702
2024-12-01,North,SaaS,105391
2024-12-01,North,SaaS,69947
2024-12-01,North,SaaS,54035
2024-12-01,North,Consulting,40405
2024-12-01,North,Consulting,129803
2024-12-01,North,Consulting,37566
2024-12-01,North,Licensing,79892
2024-12-01,North,Licensing,101668
2024-12-01,North,Licensing,88083
2024-12-01,South,SaaS,114115
2024-12-01,South,SaaS,46253
2024-12-01,South,SaaS,141971
2024-12-01,South,Consulting,45275
2024-12-01,South,Consulting,99051
2024-12-01,South,Consulting,115590
2024-12-01,South,Licensing,65279
2024-12-01,South,Licensing,81586
2024-12-01,South,Licensing,78062
2024-12-01,East,SaaS,67094
2024-12-01,East,SaaS,100967
2024-12-01,East,SaaS,134284
2024-12-01,East,Consulting,144927
2024-12-01,East,Consulting,99775
2024-12-01,East,Consulting,77500
2024-12-01,East,Licensing,114609
2024-12-01,East,Licensing,42077
2024-12-01,East,Licensing,53846
2024-12-01,West,SaaS,54435
2024-12-01,West,SaaS,73104
2024-12-01,West,SaaS,95512
2024-12-01,West,Consulting,122259
2024-12-01,West,Consulting,48115
2024-12-01,West,Consulting,128950
2024-12-01,West,Licensing,86897
2024-12-01,West,Licensing,101825
2024-12-01,West,Licensing,68851
